bet_slip_number,date_time,bet_name,coefficient,is_express,status,bet_selection,stake,event_time
73112262193,22.11.2025 | 18:40,Football. Germany. 2. Bundesliga Yellow Cards Fortuna Dusseldorf - Yellow Cards 1. Magdeburg,1.85,No,win,Individual Total 1 Over (3.5) (win),0.3 ,22.11.2025 | 17:00
73112052969,22.11.2025 | 18:37,Football. Spain. La Liga Yellow Cards Deportivo Alaves - Yellow Cards Celta 1st half,2.8,No,loss,Individual Total 1 Over (1.5) (loss),0.3 ,22.11.2025 | 18:00
73111675963,22.11.2025 | 18:32,Football. England. Championship Coventry City - West Bromwich Albion,1.8,No,win,Individual Total 1 Over (2) (win),0.3 ,22.11.2025 | 17:30
73111627619,22.11.2025 | 18:31,Football. England. Premier League Burnley - Chelsea,1.48,No,win,Individual Total 2 Over (1.5) (win),0.3 ,22.11.2025 | 17:30
73111330907,22.11.2025 | 18:27,Football. England. Championship Coventry City - West Bromwich Albion,1.4,No,win,Individual Total 1 Over (1.5) (win),0.3 ,22.11.2025 | 17:30
73110278461,22.11.2025 | 18:12,Football. Germany. 2. Bundesliga Paderborn 07 - Hannover 96,1.52,No,loss,Individual Total 1 Over (0.5) (loss),0.3 ,22.11.2025 | 17:00
73095823291,22.11.2025 | 13:53,Football. China. Super League Tianjin Tiger - Shanghai Shenhua,1.39,No,loss,Individual Total 1 Under (0.5) (loss),0.4 ,22.11.2025 | 12:30
73095777099,22.11.2025 | 13:52,Football. China. Super League Dalian Yingbo - Shanghai Port,1.46,No,win,Individual Total 1 Under (0.5) (win),0.3 ,22.11.2025 | 12:30
73078611071,22.11.2025 | 01:57,Football. Belgium. Jupiler League Standard Liege - Zulte Waregem,1.62,No,loss,Individual Total 1 Over (1) (loss),0.3 ,22.11.2025 | 00:45
73078409793,22.11.2025 | 01:52,Football. Spain. La Liga Valencia - Levante UD,1,No,win,Individual Total 1 Over (1) (100% refund),0.3 ,22.11.2025 | 01:00
73078407679,22.11.2025 | 01:52,Football. Spain. La Liga Valencia - Levante UD,1.7,No,win,Individual Total 1 Over (0.5) (win),0.3 ,22.11.2025 | 01:00
73078306787,22.11.2025 | 01:49,Football. England. Championship Preston North End - Blackburn Rovers,3.54,No,loss,Individual Total 1 Over (2) (loss),0.3 ,22.11.2025 | 01:00
73078302157,22.11.2025 | 01:49,Football. England. Championship Preston North End - Blackburn Rovers,1.81,No,loss,Individual Total 1 Over (1.5) (loss),0.3 ,22.11.2025 | 01:00
73078189787,22.11.2025 | 01:45,Football. England. Championship Preston North End - Blackburn Rovers,1.67,No,win,Individual Total 1 Over (0.5) (win),0.3 ,22.11.2025 | 01:00
73076967041,22.11.2025 | 01:14,Football. Germany. Bundesliga Yellow Cards 1. FSV Mainz 05 - Yellow Cards TSG 1899 Hoffenheim,2.77,No,win,Individual Total 1 Over (2.5) (win),0.3 ,22.11.2025 | 00:30
73076056979,22.11.2025 | 00:53,Football. France. Ligue 1 Nice - Olympique de Marseille,1.7,No,win,Both Teams To Score - Yes (win),0.3 ,22.11.2025 | 00:45
73076014301,22.11.2025 | 00:52,Football. Belgium. Jupiler League Standard Liege - Zulte Waregem,0.53,No,unsettled,Both Teams To Score - Yes (Sold),0.3 ,22.11.2025 | 00:45
73075958545,22.11.2025 | 00:51,Football. Belgium. Jupiler League Standard Liege - Zulte Waregem,1.96,No,loss,Total Over (2.5) (loss),0.3 ,22.11.2025 | 00:45
73075897697,22.11.2025 | 00:49,Football. Spain. Segunda Division Corners Las Palmas - Corners Albacete Balompie,1.73,No,win,Total Under (9.5) (win),0.3 ,22.11.2025 | 00:30
